k,u_name,N_θ,N_r,N_pml,pml,integration,assemble_time,solve_time,abs_sq_error,abs_sq_norm,rel_error
0.1,0,50,8,1,SFB,GL6x6,0.007672378,0.009349445,0.0013959286588376774,7.371930068080431,0.013760715259343661
0.1,0,50,8,1,InvHankel0,GL6x6,0.008196294,0.009428701,5.29517692484871e-8,7.275902314672021,8.53093843764509e-5
0.1,0,50,8,1,InvHankel0,GL6x6,0.049037483,0.011056486,5.29517692484871e-8,7.275902314672021,8.53093843764509e-5
0.1,3,50,8,1,SFB,GL6x6,0.012693487,0.012187792,0.014026372275815031,1.4138147453703218,0.09960391919266444
0.1,3,50,8,1,InvHankel0,GL6x6,0.013687928,0.012240617,0.001214017894346215,1.4655938888354545,0.028780989522158355
0.1,3,50,8,1,InvHankel3,GL6x6,0.013413904,0.01192363,4.0602450377522616e-7,1.4749067151871322,0.0005246791975403416
0.1,3,50,8,1,InvHankel3,GL6x6,0.012678033,0.011305457,4.0602450377522616e-7,1.4749067151871322,0.0005246791975403416
0.1,scattered,50,8,1,SFB,GL6x6,0.007655802,0.008917789,0.00012302775174136547,0.026051932004580284,0.06871975077962622
0.1,scattered,50,8,1,InvHankel0,GL6x6,0.009943436,0.008826234,2.386312353390377e-7,0.024810917567027663,0.003101288950647284
0.1,0,50,8,4,SFB,GL6x6,0.027535354,0.01653121,1.3835253107211589e-6,7.278011684562868,0.0004360006935445027
0.1,0,50,8,4,InvHankel0,GL6x6,0.028174937,0.016863374,3.095763641249382e-10,7.276909254281298,6.522444886415473e-6
0.1,0,50,8,1,InvHankel0,GL24x6,0.029627012,0.01265777,8.969831030273993e-11,7.276973240876227,3.5108861140848155e-6
0.1,0,50,8,0,Optimal,Optimal,4.39612276,0.006975843,8.830301089959684e-11,7.276978337184706,3.483471125568167e-6
0.1,3,50,8,4,SFB,GL6x6,0.026924195,0.01765618,0.0016804947220809422,1.5248628806430207,0.033197331872141536
0.1,3,50,8,4,InvHankel0,GL6x6,0.02901617,0.037571128,6.958603649085217e-7,1.4754861354221993,0.0006867418020663438
0.1,3,50,8,4,InvHankel3,GL6x6,0.028911554,0.016355582,4.0603521721368515e-7,1.4749064485633168,0.000524686167061013
0.1,3,50,8,1,InvHankel3,GL24x6,0.027975679,0.011107114,4.060335993798052e-7,1.4749064886834102,0.0005246851146264544
0.1,3,50,8,0,Optimal,Optimal,4.217166808,0.00640457,4.259784278567364e-5,1.4769816953389785,0.005370395208363033
0.1,scattered,50,8,4,SFB,GL6x6,0.026092063,0.016236727,1.1437500977287127e-6,0.024709696927412962,0.00680349175413683
0.1,scattered,50,8,4,InvHankel0,GL6x6,0.028374451,0.016234061,3.1831763678198584e-11,0.02470340473118889,3.589648663095825e-5
0.1,scattered,50,8,0,Optimal,Optimal,10.093888372,0.007563221,0.00011902801023709072,0.023579409677673465,0.07104902504194793
1.0,0,50,8,1,SFB,GL6x6,0.018467153,0.016371248,1.572014125770377e-5,6.4595126969715455,0.0015600134544752962
1.0,0,50,8,1,InvHankel0,GL6x6,0.019824559,0.016555343,3.225831424303988e-8,6.467394708049042,7.062462432074589e-5
1.0,0,50,8,1,InvHankel0,GL6x6,0.012442841,0.011393902,3.225831424303988e-8,6.467394708049042,7.062462432074589e-5
1.0,3,50,8,1,SFB,GL6x6,0.01272088,0.011667099,0.0013067761482129052,1.7362812474184197,0.027434090194827194
1.0,3,50,8,1,InvHankel0,GL6x6,0.012694043,0.011634,0.00014372720816663726,1.7736594848182456,0.009001903893795042
1.0,3,50,8,1,InvHankel3,GL6x6,0.012798275,0.011672484,3.826349164638121e-7,1.79066491746934,0.0004622587456568309
1.0,3,50,8,1,InvHankel3,GL6x6,0.012839121,0.027182546,3.826349164638121e-7,1.79066491746934,0.0004622587456568309
1.0,scattered,50,8,1,SFB,GL6x6,0.01269927,0.01125963,3.635475978363e-5,2.1785319527398395,0.004085062190833466
1.0,scattered,50,8,1,InvHankel0,GL6x6,0.012549613,0.011207019,1.1190106437525813e-6,2.183698250076306,0.0007158479666405243
1.0,0,50,8,4,SFB,GL6x6,0.025665688,0.018498668,7.439800092337194e-9,6.4672574577367135,3.39172441736423e-5
1.0,0,50,8,4,InvHankel0,GL6x6,0.029869713,0.017054879,6.411165602646169e-10,6.467558050280574,9.956308152609648e-6
1.0,0,50,8,1,InvHankel0,GL24x6,0.037017395,0.01119992,5.134527584272673e-10,6.467567498147204,8.91004219548349e-6
1.0,0,50,8,0,Optimal,Optimal,4.178203628,0.006690589,5.126087716026127e-10,6.467568181353875,8.90271578254484e-6
1.0,3,50,8,4,SFB,GL6x6,0.027641747,0.017534892,4.6542066913691116e-7,1.7911583605260921,0.0005097483642576169
1.0,3,50,8,4,InvHankel0,GL6x6,0.030451384,0.017212927,3.98653441627267e-7,1.7906922740069349,0.0004718318774913892
1.0,3,50,8,4,InvHankel3,GL6x6,0.030537499,0.016962472,3.8116798168636943e-7,1.7906905862962048,0.0004613684907843718
1.0,3,50,8,1,InvHankel3,GL24x6,0.031488602,0.011679383,3.8108740013731677e-7,1.7906923593030268,0.00046131949157894223
1.0,3,50,8,0,Optimal,Optimal,5.560486032,0.006313255,0.000492795708350853,1.7960129737758523,0.016564514970766636
1.0,scattered,50,8,4,SFB,GL6x6,0.026370228,0.017396125,1.0406050507811704e-8,2.1833442937766434,6.903699064621296e-5
1.0,scattered,50,8,4,InvHankel0,GL6x6,0.031942116,0.018155568,3.5308276937400485e-9,2.1834875637069806,4.021266915644155e-5
1.0,scattered,50,8,0,Optimal,Optimal,5.183316651,0.006122174,3.174134175316229e-9,2.1834992006530656,3.8127306169714204e-5
10.0,0,503,80,1,SFB,GL6x6,0.518660995,1.787245471,5.635061026902992e-9,6.286829687402158,2.9938736244558697e-5
10.0,0,503,80,1,InvHankel0,GL6x6,0.522984818,2.207996907,1.4097866950907643e-9,6.286944149288977,1.4974657660509789e-5
10.0,0,503,80,1,InvHankel0,GL6x6,0.793286926,1.819739213,1.4097866950907643e-9,6.286944149288977,1.4974657660509789e-5
10.0,3,503,80,1,SFB,GL6x6,0.517839672,1.776671048,5.6453924558025715e-9,6.141991570543639,3.0317435426961615e-5
10.0,3,503,80,1,InvHankel0,GL6x6,0.51087215,1.777852336,1.1967238022001182e-9,6.142102672880519,1.3958489638857567e-5
10.0,3,503,80,1,InvHankel3,GL6x6,0.50643721,1.842753848,1.2945560391485928e-9,6.142063121454899,1.4517882925374424e-5
10.0,3,503,80,1,InvHankel3,GL6x6,0.52962233,1.791032427,1.2945560391485928e-9,6.142063121454899,1.4517882925374424e-5
10.0,scattered,503,80,1,SFB,GL6x6,0.516087964,1.812862986,4.158815131269499e-7,3.8059012880366505,0.0003305643749806547
10.0,scattered,503,80,1,InvHankel0,GL6x6,0.512616817,1.896709676,3.2790330512801356e-7,3.806057987053087,0.00029351830902417674
10.0,0,503,80,4,SFB,GL6x6,0.607814313,1.880594613,8.242096011494699e-10,6.287010451874031,1.1449769491101902e-5
10.0,0,503,80,4,InvHankel0,GL6x6,0.60547359,1.878494584,7.963550503822277e-10,6.287018686711966,1.1254624084767538e-5
10.0,0,503,80,1,InvHankel0,GL24x6,0.620018849,1.746533818,7.942429969427641e-10,6.287023266912964,1.1239685603574322e-5
10.0,0,503,80,0,Optimal,Optimal,55.262418273,1.830373624,7.940042981268838e-10,6.287023468972559,1.1237996329557025e-5
10.0,3,503,80,4,SFB,GL6x6,0.757212174,2.362124271,7.120986807787286e-10,6.142108434763932,1.07674124929818e-5
10.0,3,503,80,4,InvHankel0,GL6x6,0.626937389,2.034310505,6.738321139778247e-10,6.142118501732384,1.0474100988762224e-5
10.0,3,503,80,4,InvHankel3,GL6x6,0.684092858,1.974547271,6.75752287123167e-10,6.142116008818803,1.0489016164240965e-5
10.0,3,503,80,1,InvHankel3,GL24x6,0.719438506,1.835413671,6.752299692133055e-10,6.142119245921169,1.0484958912543846e-5
10.0,3,503,80,0,Optimal,Optimal,61.395261897,1.993024907,6.32670056842443e-6,6.14207978025922,0.0010149179034368923
10.0,scattered,503,80,4,SFB,GL6x6,0.66122297,2.03905966,3.373211330990707e-9,3.8060225567282826,2.9770497777642505e-5
10.0,scattered,503,80,4,InvHankel0,GL6x6,0.735005915,1.964420441,2.5867614139478784e-9,3.8060308980827924,2.6070060090818876e-5
10.0,scattered,503,80,0,Optimal,Optimal,59.216925026,1.775620748,0.0072416416451246265,3.850667517330921,0.04336611370495393
